Inputs,,,,Outputs,,,,
Date,G,v,Ta,P_PV_TE,N_PV_TE,,,
dd/mm/yy,W/m2,m/s,K,W,%,,,
11/30/2019,151.9639,4.22,274.14,2.997221533,11.24227155,,,
12/1/2019,155.0489,1.58,275.63,3.275465151,11.38327119,,,
12/2/2019,149.786,5.24,275.06,2.886324719,11.1883047,,,
12/3/2019,145.5341,3.39,275.14,2.893882019,11.23067116,,,
12/4/2019,142.143,3.9,275.46,2.780125502,11.18530725,,,
12/5/2019,145.2483,4.53,272.46,2.809960058,11.17745681,,,
12/6/2019,128.4333,7.56,273.64,2.294952182,10.95313565,,,
12/7/2019,130.9266,8.12,279.57,2.348823922,10.97087232,,,
12/8/2019,129.2949,7.48,279.97,2.336755173,10.97956893,,,
12/9/2019,119.0426,5.42,278.76,2.181694497,10.96550146,,,
12/10/2019,137.0969,4.12,274.5,2.643436696,11.13714706,,,
12/11/2019,128.6269,5.27,273.76,2.388514896,11.03023415,,,
12/12/2019,126.7325,3.71,274.18,2.417976936,11.07334099,,,
12/13/2019,133.1297,4.61,272.4,2.518710096,11.08460013,,,
12/14/2019,123.1174,6.02,274.84,2.238497843,10.96689624,,,
12/15/2019,125.6282,6.29,276.99,2.290000036,10.98202934,,,
12/16/2019,121.2135,4.01,277.26,2.283135971,11.02586288,,,
12/17/2019,112.4348,5.42,279.16,2.037598529,10.91668774,,,
12/18/2019,119.4613,3.69,278.61,2.259881933,11.02616523,,,
12/19/2019,116.3193,4.58,277.79,2.149813098,10.96984301,,,
12/20/2019,123.8129,4.39,278.7,2.330213346,11.03551631,,,
12/21/2019,125.5413,3.46,277.72,2.410848339,11.08008164,,,
12/22/2019,121.2968,3.61,275.58,2.298857387,11.03754414,,,
12/23/2019,120.5292,4.72,277.84,2.239288941,10.99746221,,,
12/24/2019,121.7002,3.55,277.87,2.316511721,11.04719508,,,
12/25/2019,122.7276,3.85,276.8,2.324175158,11.04233321,,,
12/26/2019,127.8086,4.05,276.47,2.432593921,11.07346224,,,
12/27/2019,132.297,3.47,274.67,2.564006892,11.12624015,,,
12/28/2019,137.6271,2.49,272.04,2.746598822,11.20308265,,,
12/29/2019,130.8037,3.39,272,2.525831669,11.113065,,,
12/30/2019,120.3786,6.34,274.1,2.165138568,10.93465729,,,
12/31/2019,131.5273,6.17,275.89,2.422252831,11.02588636,,,
1/1/2020,134.8561,3.76,273.59,2.606894708,11.13244853,,,
1/2/2020,139.8809,4.32,272.09,2.692208446,11.14535871,,,
1/3/2020,122.2832,6.27,276.01,2.214507283,10.95575402,,,
1/4/2020,126.9788,8.01,275.57,2.255000164,10.93487155,,,
1/5/2020,134.9579,3.78,273.39,2.607715199,11.13206132,,,
1/6/2020,141.0231,4.25,274.82,2.731249517,11.16203446,,,
1/7/2020,131.9273,3.94,273.64,2.52765748,11.10334991,,,
1/8/2020,127.4316,5.79,277.59,2.351087708,11.01286875,,,
1/9/2020,130.9471,5.25,279.97,2.46032684,11.06233376,,,
1/10/2020,139.7158,6.11,280.53,2.625067238,11.09813593,,,
1/11/2020,154.5772,4.32,275.83,3.060534761,11.26046041,,,
1/12/2020,146.4661,6.95,275.34,2.723091053,11.10375901,,,
1/13/2020,149.8327,4.94,277.61,2.91270639,11.20560675,,,
